SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,64252.9270420779459659
ETH,Ethereum,2768.5433873730140698
USDT,Tether,1.0011830204168537
BNB,BNB,576.1381124645100675
SOL,Solana,159.6967221701564337
USDC,USDC,1.0006278219557686
XRP,XRP,0.6015551054751409
DOGE,Dogecoin,0.1101474787199078
TRX,TRON,0.1649941598359557
ADA,Cardano,0.3863429159202506
AVAX,Avalanche,27.0176398388261505
WBTC,Wrapped Bitcoin,64090.4292417233625608
SHIB,Shiba Inu,0.0000151094979003
LINK,Chainlink,12.1310907280919531
BCH,Bitcoin Cash,360.1263446584594584
DOT,Polkadot,4.8272584172797337
NEAR,NEAR Protocol,4.9433023754151047
DAI,Multi Collateral DAI,1.0007596867479554
MATIC,Polygon,0.5290465377917499
LTC,Litecoin,65.3235183712098042
ICP,Internet Computer,8.5640107037720391
UNI,Uniswap,6.6361589442334292
FET,Artificial Superintelligence Alliance,1.3329919758037833
XMR,Monero,170.4248623116611272
ETC,Ethereum Classic,20.2278642608926402
XLM,Stellar,0.1012903393321981
STX,Stacks,1.8178880867206371
FIL,Filecoin,4.1797734324779617
CRO,Crypto.com Coin,0.0885357262506984
VET,VeChain,0.0253801418378924
AAVE,Aave,137.2717721516000160
MKR,Maker,2131.8992018510272484
AR,Arweave,25.5476690049229670
GRT,The Graph,0.1729809496820205
INJ,Injective,22.0031432471727253
RUNE,THORChain,4.4250660029817985
FTM,Fantom,0.4945730370010196
THETA,THETA,1.3813229446559958
ATOM,Cosmos,5.0399025012400490
ALGO,Algorand,0.1427397463408554
LDO,Lido DAO,1.2397613746040222
KCS,KuCoin Token,8.6096084233266807
HNT,Helium,6.2681934076585730
BSV,Bitcoin SV,46.4555454732150816
FLOW,Flow,0.6002535147305969
HBAR,Hedera Hashgraph,0.0587745211038066
QNT,Quant,69.5934916409641722
EOS,EOS,0.5397857533532366
AXS,Axie Infinity,5.2602404728878107
EGLD,MultiversX,31.9123671367181186
NEO,Neo,10.7122190734798510
XTZ,Tezos,0.7415750297268462
GT,GateToken,7.8470495838422612
GALA,Gala,0.0214203298979858
XEC,eCash,0.0000351391119327
SAND,The Sandbox,0.2951147101430202
AKT,Akash Network,2.7573417819553578
CFX,Conflux,0.1569273650835964
KLAY,Klaytn,0.1736094779961475
ZEC,Zcash,40.3564367833075535
NEXO,Nexo,1.1120473741833925
MANA,Decentraland,0.3086980527743062
MINA,Mina,0.4992187456586558
CHZ,Chiliz,0.0606419556220673
PENDLE,Pendle,3.3786671801261206
AIOZ,AIOZ Network,0.4743979771210822
LPT,Livepeer,15.2620684791520579
CAKE,PancakeSwap,1.9634134228136658
DEXE,DeXe,8.9783848943117178
TUSD,TrueUSD,1.0005019745774528
RAY,Raydium,1.8499620591274004
IOTA,IOTA,0.1433767128723259
OM,MANTRA DAO,0.9705531126445334
FTT,FTX Token,1.4729731783279990
GNO,Gnosis,180.5089946285905566
CKB,Nervos Network,0.0099130698721290
ROSE,Oasis,0.0654018928723532
COMP,Compound,51.7537972279099881
TFUEL,Theta Fuel,0.0643834116704277
NXM,NXM,61.6429019059678786
TWT,Trust Wallet Token,0.9639517994054014
KAVA,Kava,0.3647416299630182
CRV,Curve DAO Token,0.3317453595872667
SNX,Synthetix,1.5956099081027771
SUPER,SuperVerse,0.7539367012120376
SUN,Sun (New),0.0368450672327264
WEMIX,WEMIX,0.8943407958694685
IOTX,IoTeX,0.0381577309189880
AMP,Amp,0.0044019849995539
1INCH,1inch Network,0.2753284677058761
HOT,Holo,0.0019741997994270
WOO,WOO,0.1778570056029047
KSM,Kusama,22.1760884550112669
GLM,Golem,0.3285031809345202
JST,JUST,0.0330962100559226
RSR,Reserve Rights,0.0062900128175637
DASH,Dash,26.7018846522843865
XDC,XinFin Network,0.0257017431409067
ANT,Aragon,7.1636169571314209
ELF,aelf,0.4140286839910724
