id,countryName,hasPlayerStats,isActive
AUS,Australia,1,1
AUT,Austria,1,1
BEL,Belgium,1,1
BHS,Bahamas,1,1
BLR,Belarus,1,1
BRA,Brazil,1,1
CAN,Canada,1,1
CHE,Switzerland,1,1
CHN,China,0,1
DEU,Germany,1,1
DNK,Denmark,1,1
EST,Estonia,1,1
FIN,Finland,1,1
FRA,France,1,1
GBR,United Kingdom,1,1
GRC,Greece,1,1
GUY,Guyana,1,1
HRV,Croatia,1,1
HTI,Haiti,1,1
HUN,Hungary,1,1
IRL,Ireland,1,1
ISR,Israel,0,1
ITA,Italy,1,1
JAM,Jamaica,1,1
JPN,Japan,1,1
KAZ,Kazakhstan,1,1
KOR,South Korea,1,1
LBN,Lebanon,1,1
LTU,Lithuania,1,1
LVA,Latvia,1,1
MEX,Mexico,0,1
NGA,Nigeria,1,1
NLD,Netherlands,1,1
NOR,Norway,1,1
POL,Poland,1,1
PRY,Paraguay,1,1
ROU,Romania,1,1
RUS,Russia,1,1
SRB,Serbia,1,1
SVK,Slovakia,1,1
SVN,Slovenia,1,1
SWE,Sweden,1,1
THA,Thailand,1,1
UKR,Ukraine,1,1
USA,United States,1,1
VEN,Venezuela,1,1
YUG,Yugoslavia,0,0
ZAF,South Africa,1,1
CZE,Czechia,1,1
